indicator_code,report_id,calculate_type,remark
"fullLinkStoreProfitNotaxRate","3","7","消费会员数-按销售小票标识的会员ID去重计数"
"activeMemberNum","3","7","活跃用户数-按销售小票标识的会员ID去重计数"
"firstTranMemberNum","3","7","新消费会员数-统计周期内首次消费会员id去重计数"
"firstTranMemberPerCustAmt","3","7","新客首单客单价-首次消费销售额/新消费会员数"
"nextMonthRetainedRate","3","7","次月留存率-次月留存会员数/上月的新消费会员数"
"regularActiveMemberTranTimes","3","7","普通活跃会员消费频次-普通会员消费订单数/普通会员消费去重会员数"
"regularActiveMemberPerCustAmt","3","7","普通活跃会员客单价-普通会员销售额/普通会员客数"
"regularActiveMemberNum","3","7","普通活跃会员数-会员等级为普通会员的会员id去重计数"
"vip1ActiveMemberTranTimes","3","7","vip1活跃会员消费频次-vip1会员消费订单数/vip1会员消费去重会员数"
"vip1ActiveMemberPerCustAmt","3","7","vip1活跃会员客单价-vip1会员销售额/vip1会员客数"
"vip1ActiveMemberNum","3","7","vip1活跃会员数-会员等级为VIP1的会员id去重计数"
"vip2ActiveMemberTranTimes","3","7","vip2活跃会员消费频次-vip2会员消费订单数/vip2会员消费去重会员数"
"vip2ActiveMemberPerCustAmt","3","7","vip2活跃会员客单价-vip2会员销售额/vip2会员客数"
"vip2ActiveMemberNum","3","7","vip2活跃会员数-会员等级为VIP2的会员id去重计数"
"vip3ActiveMemberTranTimes","3","7","vip3活跃会员消费频次-vip3会员消费订单数/vip3会员消费去重会员数"
"vip3ActiveMemberPerCustAmt","3","7","vip3活跃会员客单价-vip3会员销售额/vip3会员客数"
"vip3ActiveMemberNum","3","7","vip3活跃会员数-会员等级为VIP3的会员id去重计数"
"dormantMemberNum","3","7","休眠期会员数-过去30天无消费且31-90天内有消费的会员id去重计数"
"winbackMemberRate","3","7","用户挽回率-上月休眠期本月重新消费用户数/上月休眠期用户数"
"churnedMemberNum","3","7","流失期会员数-过去90天无消费且历史至今有消费的会员id去重计数"
"memberSaleAmtRate","3","7","会员销售占比-会员销售额/销售额"
"crossMemberNum","3","7","交叉会员数-线上线下都有消费的会员id去重计数"
"offlineMemberNum","3","7","线下消费会员数-线下渠道消费会员id去重"
"onlineMemberNum","3","7","线上消费会员数-线上渠道消费会员id计数去重"
"reachMemberNum","3","7","可触达用户数-各渠道可触达用户数量"
"memberNum","3","7","会员数-会员id去重计数"
"communityUserNum","3","7","社群用户数-企业微信社群用户id去重计数"
"officialMediaUserNum","3","7","官媒用户数-微信公众号粉丝数量"
"douyinUserNum","3","7","抖音用户数-抖音公众号粉丝数量"
"memberRepurchaseNoDifferenceRate","3","7","会员复购率-复购会员数/消费会员数"
"repurchaseMemberNum","3","7","复购会员数-购买次数>=2的会员去重计数"
